epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1195.34,1.31512,0.74093,1.25971,0.91251,0.86769,0.92565,0.55881,1.38784,0.82706,1.27012,0.003268,0.003268,0.003268
70,1213.97,1.30867,0.78101,1.26282,0.87507,0.8433,0.92326,0.54958,1.43786,0.80345,1.33776,0.003169,0.003169,0.003169
71,1230.75,1.27479,0.74735,1.2576,0.9143,0.87229,0.91878,0.53195,1.46858,0.80741,1.37051,0.00307,0.00307,0.00307
72,1248.03,1.2863,0.7443,1.27218,0.90485,0.8415,0.92174,0.47899,1.70968,0.91759,1.489,0.002971,0.002971,0.002971
73,1264.83,1.29531,0.73383,1.28049,0.93047,0.85493,0.92366,0.47371,1.66748,0.81967,1.47664,0.002872,0.002872,0.002872
74,1281.82,1.25992,0.7323,1.2505,0.91321,0.8725,0.9387,0.53287,1.51668,0.78767,1.40293,0.002773,0.002773,0.002773
75,1299.65,1.25848,0.71828,1.24597,0.91995,0.89421,0.94022,0.52891,1.5213,0.77074,1.3679,0.002674,0.002674,0.002674
76,1316.47,1.23933,0.72503,1.22382,0.9269,0.85758,0.936,0.49971,1.65561,0.77639,1.40596,0.002575,0.002575,0.002575
77,1333.36,1.26936,0.73134,1.24073,0.86868,0.86615,0.93014,0.49137,1.66211,0.81705,1.43581,0.002476,0.002476,0.002476
78,1350.51,1.24932,0.72617,1.23421,0.90337,0.8688,0.93919,0.5706,1.39271,0.75785,1.3237,0.002377,0.002377,0.002377
79,1367.13,1.26097,0.69796,1.23357,0.90832,0.86472,0.93018,0.53611,1.55277,0.78133,1.39007,0.002278,0.002278,0.002278
80,1384.32,1.21614,0.6868,1.21291,0.90875,0.87268,0.93278,0.52479,1.52383,0.76491,1.37364,0.002179,0.002179,0.002179
81,1401.95,1.2441,0.69021,1.22079,0.9285,0.87484,0.94608,0.55346,1.49894,0.74837,1.33959,0.00208,0.00208,0.00208
82,1419.08,1.22163,0.68564,1.20243,0.92457,0.88767,0.93686,0.53461,1.51166,0.75692,1.33802,0.001981,0.001981,0.001981
83,1436.34,1.20879,0.67534,1.21221,0.93124,0.88505,0.94124,0.53095,1.54136,0.78567,1.36663,0.001882,0.001882,0.001882
84,1453.05,1.22884,0.66495,1.20348,0.92528,0.87328,0.94361,0.54506,1.50819,0.77747,1.34514,0.001783,0.001783,0.001783
85,1471.91,1.21576,0.69054,1.21459,0.90204,0.878,0.93568,0.52103,1.55589,0.75623,1.37658,0.001684,0.001684,0.001684
86,1488.55,1.22531,0.67383,1.21454,0.92912,0.88093,0.93544,0.5095,1.55662,0.72845,1.37724,0.001585,0.001585,0.001585
87,1505.25,1.23106,0.66216,1.21204,0.93885,0.88051,0.95326,0.53426,1.56449,0.7327,1.37289,0.001486,0.001486,0.001486
88,1521.92,1.20584,0.67069,1.2061,0.93239,0.85269,0.92876,0.51857,1.55771,0.80764,1.3773,0.001387,0.001387,0.001387
89,1538.54,1.19822,0.64085,1.20314,0.93359,0.87538,0.94064,0.5526,1.4819,0.73617,1.35668,0.001288,0.001288,0.001288
90,1556.64,1.20242,0.64973,1.20531,0.90915,0.86415,0.9199,0.43874,1.8409,0.81432,1.52907,0.001189,0.001189,0.001189
91,1576.68,1.19359,0.60724,1.21909,0.9041,0.88493,0.94642,0.56394,1.43551,0.72086,1.33039,0.00109,0.00109,0.00109
92,1592.86,1.17738,0.59044,1.20969,0.93778,0.87476,0.94041,0.50881,1.64718,0.7784,1.41997,0.000991,0.000991,0.000991
93,1609.2,1.14017,0.57354,1.19035,0.92375,0.89686,0.94288,0.52966,1.52488,0.72291,1.36451,0.000892,0.000892,0.000892
94,1625.02,1.1279,0.56714,1.1822,0.93145,0.88011,0.94456,0.53928,1.51775,0.71939,1.3594,0.000793,0.000793,0.000793
95,1642.3,1.1416,0.55641,1.20268,0.9247,0.8834,0.93576,0.52988,1.53669,0.73298,1.3804,0.000694,0.000694,0.000694
96,1659.44,1.14463,0.57026,1.19219,0.92621,0.87712,0.9336,0.54327,1.52145,0.7127,1.36874,0.000595,0.000595,0.000595
97,1675.82,1.12359,0.54782,1.19141,0.94603,0.8834,0.9451,0.55517,1.47652,0.70027,1.33466,0.000496,0.000496,0.000496
98,1691.77,1.13236,0.53958,1.17226,0.93889,0.88659,0.94933,0.55177,1.49129,0.69384,1.33314,0.000397,0.000397,0.000397
